horario_inicial,local,total_pedestres
06:00,bobs,131.0
06:00,burrinhos,57.666666666666664
06:00,jackson,115.75
07:00,bobs,113.0
07:00,burrinhos,79.0
07:00,jackson,102.75
08:00,bobs,60.75
08:00,burrinhos,60.0
08:00,jackson,63.25
09:00,bobs,20.75
09:00,burrinhos,63.25
09:00,jackson,38.0
10:00,bobs,19.25
10:00,burrinhos,54.5
10:00,jackson,22.75
11:00,bobs,26.25
11:00,burrinhos,69.5
11:00,jackson,25.75
12:00,bobs,27.25
12:00,burrinhos,60.25
12:00,jackson,14.5
13:00,bobs,30.75
13:00,burrinhos,65.5
13:00,jackson,24.0
14:00,bobs,28.25
14:00,burrinhos,61.25
14:00,jackson,22.75
15:00,bobs,52.5
15:00,burrinhos,69.0
15:00,jackson,30.5
16:00,bobs,133.75
16:00,burrinhos,96.75
16:00,jackson,103.0
17:00,bobs,235.0
17:00,burrinhos,119.0
17:00,jackson,214.5
18:00,bobs,205.5
18:00,burrinhos,99.25
18:00,jackson,206.25
19:00,bobs,146.0
19:00,burrinhos,43.5
19:00,jackson,167.75
20:00,bobs,52.75
20:00,burrinhos,27.25
20:00,jackson,72.25
